Original Field,ECS Field,Type,Field set,Level,Description
Source_Workstation,botes.source.hostname,Keyword,Source,Extended,Contains the name of the computer from which the logon attempt originated.
subject,botes.event.description,Keyword,Event,Core,Contains Windows EventID description.
System_Event_Logging,winlog.event_logging.flag,Keyword,Winlog,Extended,Contains an indicator that shows whether Windows remote System Event Logging is enabled or not (Yes or No).
Target_Server_Name,botes.destination.hostname,Keyword,Destination,Extended,Contains the name of the server on which the new process was run.Has “localhost” value if the process was run locally.
TaskCategory,winlog.task_category,Keyword,Winlog,Extended,Contains the Windows Event Log Task Category.
Test_Signing,winlog.test_signing.flag,Keyword,Winlog,Extended,Contains an indicator that shows whether Windows test signing is enabled or not (Yes or No).
time,event.created,Date,Event,Core,"Event.created contains the date/time when the event was first read by an agent, or by your pipeline."
Token_Elevation_Type,winlog.token_elevation.type,Keyword,Winlog,Extended,"Contains an indicator that shows if Elevation Type is TokenElevationTypeDefault (1), TokenElevationTypeFull (2) or TokenElevationTypeLimited (3)."
Token_Elevation_Type_id,winlog.token_elevation.id,Long,Winlog,Extended,Contains ID of current Token Elevation Type.
Transaction_ID,winlog.transaction.id,Keyword,Winlog,Extended,"Contains the unique GUID of the transaction.This field can help you correlate this event with other events that might contain the same Transaction ID, for example with EventID 4660."
Transited_Services,winlog.transmitted_services,Keyword,Winlog,Extended,Contains  the list of transmitted services.Transmitted services are populated if the logon was a result of a S4U (Service For User) logon process.
Type,log.level,Keyword,Log,Core,Original log level of the log event.
Virtual_Account,winlog.virtual_account.flag,Keyword,Winlog,Extended,Contains an indicator that shows whether the account is a virtual account or not (Yes or No).
VSM_Launch_Type,winlog.vsm_launch.type,Keyword,Winlog,Extended,Contains VSM launch type.
Workstation_Name,botes.source.hostname,Keyword,Source,Extended,Contains the machine name from which logon attempt was performed.
